Plant_Name,Scientific_Name,Plant_Type,Life_Cycle,Soil_Type,Sunlight_Needs,Water_Needs,Use,Poisonous,Preferred_Zone,Soil_PH,Size,Spacing
Fragrant Sumac,Rhus aromatica,Tree,Perennial,Loam,Full Sun,Low,Ornamental,No,3-9,6.0-7.5,2-6 ft,4-8 ft
Fringed Campion,Silene polypetala,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,N/A,7-9,6.0-7.5,1-2 ft,12-18 in
Fritillaria,Fritillaria meleagris,Vegetable,Annual,Loam,Full Sun,High,Edible,No,3-9,6.0-6.8,1-2 ft,36-60 in
Frogbit,Hydrocharis morsus-ranae,Aquatic,Perennial,Aquatic,Full Sun,High,Ornamental,No,6-11,6.0-8.0,6-12 in,1-2 ft
Gaillardia,Gaillardia pulchella,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,6-12 ft,6-12 in
Galangal,Alpinia galanga,Herb,Perennial,Loam,Full Sun,High,Edible,No,9-11,6.0-7.0,3-6 ft,12-18 in
Garden Cress,Lepidium sativum,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,2-11,6.0-7.0,6-12 in,2 in
Garden Phlox,Phlox paniculata,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-8,6.0-8.0,2-4 ft,18-24 in
Garlic,Allium sativum,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,9-11,5.5-6.5,5-8 ft,24-36 in
Gasteria,Gasteria spp.,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,4-9,5.8-6.2,5-10 ft,24-36 in
Gaura,Oenothera lindheimeri,Flower,Perennial,Loam,Full Sun,Low,Ornamental,No,5-9,6.0-7.5,2-4 ft,18-24 in
Georgia Aster,Symphyotrichum georgianum,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,No,6-9,5.5-7.0,2-4 ft,18-24 in
Georgia Rockcress,Arabis georgiana,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,7-9,6.0-7.5,1-2 ft,12-18 in
Geranium,Geranium spp.,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,4-9,5.8-6.2,5-10 ft,24-36 in
Ghost Plant,Graptopetalum paraguayense,Succulent,Perennial,Sandy,Full Sun,Low,Ornamental,No,9-11,6.1-7.5,6-12 in,6-12 in
Ginger,Zingiber officinale,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,8-11,5.5-6.5,2-3 ft,12-18 in
Ginkgo,Ginkgo biloba,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,3-9,5.0-7.0,50-80 ft,30-50 ft
Globe Thistle,Echinops ritro,Flower,Perennial,Loam,Full Sun,Low,Ornamental,No,3-8,6.0-7.5,2-4 ft,18-24 in
Glory Lily,Gloriosa superba,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,10-11,6.0-7.0,3-6 ft,8-12 in
Gloxinia,Sinningia speciosa,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,7-10,6.0-7.0,3-5 ft,36-48 in
Goat’s Beard,Aruncus dioicus,Vegetable,Biennial,Loam,Full Sun,High,Edible,No,4-10,6.0-7.0,12-16 in,8-10 in
Gobo (Burdock Root),Arctium lappa,Vegetable,Biennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,2-4 ft,8-12 in
Goji Berry,Lycium barbarum,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,2-3 ft,18-24 in
Golden Alexander,Zizia aurea,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,4-10,5.5-7.0,8-24 in,6-8 in
Golden Beet,Beta vulgaris,Herb,Biennial,Loam,Full Sun,Medium,Edible,No,2-10,6.0-7.0,6-18 in,2-4 in
Golden Chain Tree,Laburnum anagyroides,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,5-7,6.0-7.5,10-20 ft,10-15 ft
Golden Club,Orontium aquaticum,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,5-10,5.5-7.5,1-3 ft,1-2 ft
Golden Paintbrush,Castilleja levisecta,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,6-8,6.0-7.5,1-2 ft,12-18 in
Golden Ragwort,Packera aurea,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,3-8,5.5-7.5,1-2 ft,12-18 in
Goldenrod,Solidago canadensis,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,6-12 in,6-12 in
Gooseberry,Ribes uva-crispa,Vegetable,Annual,Sandy,Full Sun,Low,Edible,No,3-10,5.5-7.0,2-6 in,6-8 in
Grains of Paradise,Aframomum melegueta,Herb,Perennial,Loam,Partial Shade,High,Edible,No,10-11,6.0-7.0,3-6 ft,2-3 ft
Grape,Vitis vinifera,Fruit,Annual,Loam,Full Sun,High,Edible,No,10-11,6.5-6.8,6-10 ft,12-18 in
Grape Ivy,Parthenocissus tricuspidata,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.0-7.5,20-40 ft,4-6 ft
Graptopetalum paraguayense,Graptopetalum paraguayense,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.0,1-3 ft,18-24 in
Great Blue Lobelia,Lobelia siphilitica,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.0,2-4 ft,18-24 in
Greater Bladderwort,Utricularia vulgaris,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,4-10,5.0-7.0,6-24 in,12-24 in
Green Bean,Phaseolus vulgaris,Vegetable,Perennial,Loam,Full Sun,High,Edible,No,8-11,6.0-6.8,10-30 ft,36-48 in
Green Pitcher Plant,Sarracenia oreophila,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,6-9,4.0-6.0,12-24 in,12-18 in
Ground Cherry,Physalis pruinosa,Vegetable,Annual,Sandy,Full Sun,Medium,Edible,No,10-11,6.0-7.5,10-20 ft,12-18 in
Groundnut,Apios americana,Herb,Annual,Loam,Full Sun,Medium,Edible,No,6-11,5.5-7.0,1-2 ft,12-18 in
Guava,Psidium guajava,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,9-11,5.0-7.0,10-30 ft,10-15 ft
Habañero,Capsicum chinense,Herb,Annual,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.0,2-4 ft,18-24 in
Hackberry,Celtis occidentalis,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,2-9,6.0-7.5,40-70 ft,20-30 ft
Hamburg Parsley,Petroselinum crispum var. tuberosum,Herb,Biennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.0,1-2 ft,8-12 in
Hardy Kiwi,Actinidia arguta,Fruit,Annual,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.5,6-10 in,6-8 in
Harper's Beauty,Harperocallis flava,Herb,Perennial,Peat,Full Sun,High,Ornamental,N/A,8-10,5.0-6.5,1-2 ft,6-12 in
Harperella,Ptilimnium nodosum,Herb,Perennial,Clay,Full Sun,High,Ornamental,N/A,7-9,5.5-7.0,1-2 ft,6-12 in
Hawaiian Hibiscus,Hibiscus arnottianus,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,10-11,6.0-7.5,3-6 ft,24-36 in
Haworthia,Haworthia spp.,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.5,6-10 in,6-8 in
Heartleaf Philodendron,Philodendron hederaceum,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.5,6-10 in,6-8 in
Heartnut,Juglans ailantifolia var. cordiformis,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.5,30-60 ft,30-40 ft
Hedgehog Cactus,Echinocereus spp.,Cactus,Perennial,Sandy,Full Sun,Low,Ornamental,No,7-10,6.0-7.5,6-24 in,1-2 ft
Hellebore,Helleborus orientalis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,12-18 in,8-12 in
Hens and Chicks,Sempervivum tectorum,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,12-24 in,12-18 in
Hibiscus,Hibiscus rosa-sinensis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,12-24 in,12-18 in
Hickory,Carya spp.,Vegetable,Annual,Sandy,Full Sun,Medium,Edible,No,3-9,5.8-6.8,6-20 in,4-6 in
Holly,Ilex aquifolium,Herb,Perennial,Loam,Partial Shade,High,Edible,No,8-10,6.0-7.0,12-24 in,12-18 in
Hollyhock,Alcea rosea,Flower,Biennial,Loam,Full Sun,Medium,Ornamental,Yes,3-9,6.0-7.5,5-8 ft,18-24 in
Honey Locust,Gleditsia triacanthos,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,3-9,5.5-6.8,1-2 ft,6-12 in
Honeydew,Cucumis melo,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,12-18 in,6-12 in
Honeysuckle Vine,Lonicera spp.,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,5.5-7.5,10-20 ft,4-6 ft
Hophornbeam,Ostrya virginiana,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-9,6.0-7.5,30-60 ft,20-30 ft
Horehound,Marrubium vulgare,Herb,Annual,Loam,Full Sun,Medium,Edible,No,3-11,5.5-6.5,2-3 ft,12-18 in
Hornwort,Ceratophyllum demersum,Herb,Biennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.0,10-18 in,8-12 in
Horse Chestnut,Aesculus hippocastanum,Herb,Perennial,Sandy,Full Sun,Low,Edible,No,5-9,6.0-8.0,6-12 in,8-12 in
Horseradish,Armoracia rusticana,Herb,Perennial,Sandy,Full Sun,Low,Edible,No,4-8,6.0-7.0,1-2 ft,12-18 in
Horsetail,Equisetum arvense,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,4-9,6.0-8.0,2-4 ft,1-2 ft
Hosta,Hosta spp.,Herb,Perennial,Loam,Full Sun,Low,Edible,No,4-8,6.0-7.5,2-3 ft,12-18 in
Houghton’s Goldenrod,Solidago houghtonii,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,3-6,6.0-7.5,1-3 ft,12-18 in
Huckleberry,Gaylussacia spp.,Herb,Annual,Loam,Full Sun,Low,Edible,No,7-9,6.5-7.5,12-18 in,8-12 in
Hyacinth,Hyacinthus orientalis,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-8,6.0-7.0,6-12 in,3-6 in
Hydrangea,Hydrangea macrophylla,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.0,1-2 ft,12-15 in
Hyssop,Hyssopus officinalis,Herb,Perennial,Loam,Full Sun,Low,Edible,No,4-9,6.0-7.5,1-2 ft,12-18 in
Ice Plant,Delosperma cooperi,Herb,Annual,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.0,2-3 ft,12-18 in
Impatiens,Impatiens walleriana,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,1-3 ft,12-18 in
Indian Grass,Sorghastrum nutans,Herb,Perennial,Loam,Full Sun,Low,Edible,No,3-9,6.1-7.8,2-3 ft,12-18 in
Indian Jujube,Ziziphus mauritiana,Tree,Perennial,Loam,Full Sun,Low,Edible,No,9-11,6.0-7.5,15-30 ft,15-20 ft
Indian Lotus,Nelumbo nucifera,Aquatic,Perennial,Clay,Full Sun,High,Edible,No,6-11,6.5-7.5,3-6 ft,2-4 ft
Indian Pink,Spigelia marilandica,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,5-9,6.0-7.0,1-2 ft,12-18 in
Indian Potato,Apios americana,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-7.5,6-12 ft,12-18 in
Inkberry,Ilex glabra,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,6.5-7.0,3-6 ft,12-18 in
Iris,Iris germanica,Herb,Perennial,Sandy,Full Sun,Medium,Edible,No,6-9,6.0-8.0,4-6 in,4-6 in
Ironweed,Vernonia noveboracensis,Herb,Perennial,Sandy,Full Sun,High,Edible,No,9-11,6.7-7.2,1-2 ft,12-18 in
Ironwood,Olneya tesota,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-8,6.0-7.5,30-60 ft,20-30 ft
Jaboticaba,Plinia cauliflora,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,9-11,5.5-6.5,10-45 ft,10-15 ft
Jack-in-the-pulpit,Arisaema triphyllum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,3-9,5.6-7.5,8-24 in,6-12 in
Jackfruit,Artocarpus heterophyllus,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,40-80 ft,30-40 ft
Jacob’s Ladder,Polemonium caeruleum,Flower,Annual,Loam,Full Sun,Medium,Edible,No,2-11,6.0-7.0,12-24 in,8-12 in
Jade Plant,Crassula ovata,Herb,Perennial,Loam,Full Sun,Low,Edible,Yes,4-8,5.5-7.0,1-3 ft,12-18 in
Jalapeño,Capsicum annuum,Herb,Perennial,Sandy,Full Sun,Low,Edible,Yes,4-9,6.0-7.0,2-3 ft,18-24 in
Japanese Forest Grass,Hakonechloa macra,Grass,Perennial,Loam,Partial Shade,Medium,Ornamental,No,5-9,5.5-7.5,1-2 ft,12-18 in
Japanese Walnut,Juglans ailantifolia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.5,30-60 ft,30-40 ft
Japanese Yew,Taxus cuspidata,Conifer,Perennial,Loam,Full Sun,Low,Ornamental,Yes,4-7,6.0-7.5,10-50 ft,3-6 ft
Java Moss,Vesicularia dubyana,Herb,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.0,2-3 ft,6-12 in
Jerusalem Artichoke,Helianthus tuberosus,Herb,Perennial,Loam,Full Sun,High,Edible,No,4-9,6.0-7.0,2-3 ft,18-24 in
Jerusalem Cherry,Solanum pseudocapsicum,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,8-11,6.0-7.5,1-3 ft,12-18 in
Jessamine,Gelsemium sempervirens,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,7-10,6.0-7.0,10-20 ft,8-12 in
Jesup’s Milkvetch,Astragalus robbinsii var. jesupii,Herb,Perennial,Loam,Full Sun,Low,Ornamental,N/A,3-6,6.0-7.5,1-2 ft,12-18 in
Jicama,Pachyrhizus erosus,Herb,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-8,6.0-7.0,3-4 ft,18-24 in
Jícama,Pachyrhizus erosus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,Yes,10-12,6.0-7.5,10-20 ft,12 in
Jimsonweed,Datura stramonium,Herb,Annual,Loam,Full Sun,Low,Ornamental,Yes,6-10,6.0-7.5,2-5 ft,12-24 in
Joe-Pye Weed,Eutrochium purpureum,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-7.0,3-5 ft,18-24 in
Jujube,Ziziphus jujuba,Tree,Perennial,Loam,Full Sun,Low,Edible,No,6-9,5.0-7.8,15-30 ft,12-15 ft
Juniper,Juniperus communis,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-7,6.0-7.0,2-4 ft,18-24 in
Kaffir Lime,Citrus hystrix,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,8-20 ft,8-12 ft
Kalanchoe,Kalanchoe blossfeldiana,Herb,Biennial,Sandy,Full Sun,Low,Edible,No,3-9,6.0-7.0,2-6 ft,18-24 in
Kale,Brassica oleracea var. sabellica,Herb,Perennial,Loam,Full Sun,Low,Edible,No,3-9,5.5-7.0,1-3 ft,12-24 in
Kalmia,Kalmia latifolia,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-9,4.5-6.0,5-15 ft,6-8 ft
Kankakee Globe Mallow,Iliamna remota,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,4-7,6.0-7.5,2-6 ft,18-24 in
Kankakee Mallow,Iliamna remota,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,4-7,6.0-7.5,2-6 ft,18-24 in
Kauaʻi Geranium,Geranium kauaiense,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,N/A,11-12,5.5-7.0,1-2 ft,12-18 in
Kentia Palm,Howea forsteriana,Herb,Perennial,Loam,Full Sun,Medium,Edible,Yes,6-9,6.0-7.0,6-12 in,6-12 in
Kentucky Coffeetree,Gymnocladus dioicus,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-8,5.0-8.0,6-12 in,8-12 in
King Sundew,Drosera regia,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,10-11,4.0-6.0,1-2 ft,12-24 in
Kiwi,Actinidia deliciosa,Fruit,Perennial,Sandy,Full Sun,Low,Edible,No,5-9,6.0-7.0,1-2 ft,12-18 in
Kohlrabi,Brassica oleracea var. gongylodes,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-9,6.0-6.5,6-10 in,6-8 in
Komatsuna,Brassica rapa var. perviridis,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-8,6.0-7.0,6-12 in,8-12 in
Konjac,Amorphophallus konjac,Herb,Perennial,Loam,Partial Shade,Medium,Edible,No,8-11,5.5-7.5,2-4 ft,12-18 in
Korean Pine,Pinus koraiensis,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,5.0-7.0,35-60 ft,30-40 ft
Laburnum,Laburnum anagyroides,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,5-7,6.0-7.5,10-20 ft,10-15 ft
Lace Fern,Asparagus setaceus,Fern,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,8-11,6.0-7.0,1-3 ft,12-24 in
Lady Palm,Rhapis excelsa,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,3-9,6.0-7.0,6-12 in,6-8 in
Lakeside Daisy,Tetraneuris herbacea,Herb,Perennial,Loam,Full Sun,Low,Ornamental,N/A,4-7,6.0-8.0,6-12 in,6-12 in
Lakeside Sedge,Carex lacustris,Herb,Perennial,Clay,Full Sun,High,Ornamental,No,3-8,5.5-7.0,2-3 ft,12-18 in
Lamb's Lettuce,Valerianella locusta,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.5,6-12 in,4-6 in
Langsat,Lansium parasiticum,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.0-6.5,10-30 ft,10-20 ft
Lantana,Lantana camara,Tree,Perennial,Loam,Full Sun,Low,Ornamental,Yes,8-11,6.0-7.0,3-6 ft,3-6 ft
Large-flowered Skullcap,Scutellaria montana,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,N/A,6-8,6.0-7.0,1-2 ft,12-18 in
Larkspur,Delphinium spp.,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,3-7,6.0-7.0,2-6 ft,12-18 in
Laurel,Laurus nobilis,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,6-9,6.0-7.5,10-20 ft,3-8 ft
Lavender,Lavandula angustifolia,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,5-9,6.0-7.5,4-8 in,6-8 in
Leadplant,Amorpha canescens,Flower,Perennial,Sandy,Full Sun,Low,Ornamental,No,4-8,6.0-7.0,6-12 in,6-12 in
Leek,Allium ampeloprasum,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,6-9,6.0-7.0,12-24 in,6-12 in
Lemon Balm,Melissa officinalis,Flower,Annual,Loam,Full Sun,Medium,Ornamental,Yes,3-10,6.0-7.0,3-6 ft,6-12 in
Lemon Verbena,Aloysia citrodora,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,8-10,6.0-7.0,3-6 ft,12-24 in
Lentil,Lens culinaris,Flower,Annual,Loam,Full Sun,Medium,Ornamental,Yes,4-10,6.0-7.0,6-10 ft,6-12 in
Leren,Calathea allouia,Herb,Perennial,Loam,Partial Shade,Medium,Edible,No,10-12,5.5-7.5,1-2 ft,12-18 in
Lettuce,Lactuca sativa,Flower,Annual,Loam,Full Sun,Medium,Ornamental,Yes,9-11,6.0-7.0,6-15 ft,6-12 in
Lilac,Syringa vulgaris,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,9-11,6.0-7.0,6-15 ft,6-12 in
Lily,Lilium spp.,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,5-9,6.5-7.0,10-20 ft,3-4 ft
Lily of the Valley,Convallaria majalis,Vine,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-8,6.0-7.0,15-30 ft,6-10 ft
Lily-of-the-Valley,Convallaria majalis,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,3-8,6.0-7.0,6-12 in,6-12 in
Lima Bean,Phaseolus lunatus,Vine,Perennial,Loam,Full Sun,Low,Ornamental,Yes,3-9,5.1-7.0,30-60 ft,6-10 ft
Lingonberry,Vaccinium vitis-idaea,Vine,Perennial,Loam,Full Sun,Low,Ornamental,No,4-8,5.1-7.0,30-60 ft,6-10 ft
Lithops,Lithops spp.,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,5-9,6.0-7.0,25-30 ft,8-10 ft
Little Bluestem,Schizachyrium scoparium,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-9,6.0-7.5,30-60 ft,8-12 ft
Little Walnut,Juglans microcarpa,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,7-9,6.0-7.5,20-40 ft,20-30 ft
Lizard's Tail,Saururus cernuus,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,5-10,6.0-7.5,2-4 ft,1-2 ft
Loblolly Pine,Pinus taeda,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,6-9,4.5-6.5,60-80 ft,20-40 ft
Locoweed,Astragalus spp.,Herb,Perennial,Loam,Full Sun,Low,Ornamental,Yes,5-9,6.0-7.5,1-2 ft,12-18 in
Loganberry,Rubus × loganobaccus,Vine,Perennial,Sandy,Full Sun,Low,Ornamental,No,9-11,5.5-6.0,20-30 ft,6-10 ft
Long Pepper,Piper longum,Vegetable,Perennial,Loam,Partial Shade,High,Edible,No,10-12,5.5-7.0,6-15 ft,3-5 ft
Longan,Dimocarpus longan,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.0-7.0,30-60 ft,20-30 ft
Loquat,Eriobotrya japonica,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,8-10,5.5-7.5,10-25 ft,15-20 ft
Lords-and-Ladies,Arum maculatum,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,6-9,6.0-7.0,12-18 in,6-12 in
Lotus,Nelumbo nucifera,Vine,Perennial,Loam,Full Sun,Medium,Edible,No,6-10,6.1-7.5,10-30 ft,6-10 ft
Lotus Root,Nelumbo nucifera,Aquatic,Perennial,Clay,Full Sun,High,Edible,No,6-11,6.5-7.5,3-6 ft,2-4 ft
Lovage,Levisticum officinale,Flower,Perennial,Peat,Partial Shade,Medium,Ornamental,No,11-12,5.8-6.2,6-8 in,6-8 in
Lovage Seed,Levisticum officinale,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.0,3-6 ft,12-18 in
Love-in-a-Mist,Nigella damascena,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,2-10,6.0-7.0,1-2 ft,6-10 in
Lucky Bamboo,Dracaena sanderiana,Flower,Perennial,Peat,Partial Shade,Medium,Ornamental,No,10-11,5.7-6.2,8-15 in,8-12 in
Lucuma,Pouteria lucuma,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-8.0,25-50 ft,25-35 ft
Ludwigia,Ludwigia palustris,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,6-11,5.0-7.5,1-2 ft,1-2 ft
Lupin Root,Lupinus spp.,Herb,Annual,Loam,Full Sun,Medium,Edible,No,6-9,6.0-7.5,1-2 ft,12-18 in
Lupine,Lupinus spp.,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,8-11,6.0-7.0,6-12 in,6-8 in
Lychee,Litchi chinensis,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.0-7.0,30-60 ft,20-30 ft
Maca,Lepidium meyenii,Herb,Annual,Loam,Full Sun,Medium,Edible,No,8-11,5.5-7.5,6-12 in,12-18 in
Macadamia,Macadamia integrifolia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.0-6.5,30-60 ft,20-30 ft
Mace,Myristica fragrans,Tree,Perennial,Loam,Partial Shade,High,Edible,No,11-12,5.5-7.0,30-60 ft,15-20 ft
Madagascar Dragon Tree,Dracaena marginata,Flower,Annual,Loam,Partial Shade,Medium,Ornamental,No,11-12,6.0-7.0,12-24 in,10-15 in
Magnolia,Magnolia grandiflora,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,9-11,6.0-7.2,12-24 in,12-18 in
Mahlab,Prunus mahaleb,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,6-8,6.0-7.5,20-30 ft,15-20 ft
Maidenhair Fern,Adiantum spp.,Flower,Perennial,Loam,Partial Shade,Low,Ornamental,Yes,10-12,6.1-6.5,6-10 ft,12-15 in
Malabar Chestnut,Pachira aquatica,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,30-60 ft,15-20 ft
Malabar Spinach,Basella alba,Flower,Perennial,Sandy,Partial Shade,Low,Ornamental,Yes,9-12,5.5-7.5,1-4 ft,8-18 in
Malanga,Xanthosoma sagittifolium,Herb,Perennial,Loam,Full Sun,High,Edible,No,9-12,5.5-7.5,3-5 ft,18-24 in
Mandrake,Mandragora officinarum,Herb,Perennial,Loam,Full Sun,Medium,Edible,Yes,7-10,6.0-7.0,1-2 ft,12-18 in
Mango,Mangifera indica,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.5-7.5,30-100 ft,25-30 ft
Mangosteen,Garcinia mangostana,Tree,Perennial,Loam,Partial Shade,High,Edible,No,10-11,5.0-6.5,20-80 ft,15-20 ft
Manioc,Manihot esculenta,Tree,Perennial,Loam,Full Sun,Low,Edible,No,10-12,5.5-7.0,3-10 ft,24-36 in
Maple,Acer spp.,Flower,Perennial,Peat,Partial Shade,High,Ornamental,Yes,10-12,5.8-6.5,1-3 ft,10-18 in
Marama Bean,Tylosema esculentum,Herb,Perennial,Sandy,Full Sun,Low,Edible,No,9-11,5.0-7.0,1-2 ft,12-18 in
Marigold,Tagetes spp.,Flower,Perennial,Loam,Partial Shade,Low,Ornamental,Yes,10-12,6.0-7.0,2-3 ft,12-18 in
Marimo,Aegagropila linnaei,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,10-12,6.0-7.5,3-10 ft,18-24 in
Marionberry,Rubus × 'Marion',Cactus,Perennial,Sandy,Full Sun,Low,Edible,Yes,9-11,7.0-8.5,2-3 ft,2-3 ft
Marjoram,Origanum majorana,Cactus,Perennial,Peat,Partial Shade,Medium,Ornamental,No,10-12,6.0-7.0,6-12 in,6-12 in
Marsh Marigold,Caltha palustris,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,3-7,6.0-7.0,1-2 ft,1-2 ft
Mashua,Tropaeolum tuberosum,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,8-11,5.5-7.5,1-2 ft,12-18 in
Mastic,Pistacia lentiscus,Tree,Perennial,Loam,Full Sun,Low,Edible,No,9-11,6.0-8.0,10-20 ft,6-10 ft
